strongs	word	brief_definition	full_definition
G5043	τέκνον, ου, τό	a child, descendent, inhabitant	a child, descendent, inhabitant.
G5044	τεκνοτροφέω	I bring up children	I bring up children, rear young.
G5045	τέκτων, ονος, ὁ	a carpenter	a carpenter, an artisan.
G5046	τέλειος, α, ον	perfect, full-grown	perfect, (a) complete in all its parts, (b) full grown, of full age, (c) specially of the completeness of Christian character.
G5047	τελειότης, τητος, ἡ	perfectness, perfection	perfectness, perfection, maturity.
G5048	τελειόω	I complete, accomplish, make perfect	(a) as a course, a race, or the like: I complete, finish (b) as of time or prediction: I accomplish, (c) I make perfect; pass: I am perfected.
G5049	τελείως	perfectly	perfectly, completely, without wavering.
G5050	τελείωσις, εως, ἡ	completion, fulfillment, perfection	completion, fulfillment, perfection.
G5051	τελειωτής, οῦ, ὁ	a perfecter, completer	a perfecter, completer, finisher.
G5052	τελεσφορέω	I bring to maturity	I bring to maturity.
G5053	τελευτάω	I end, finish, die	I end, finish, die, complete.
G5054	τελευτή, ῆς, ἡ	end of life, death	end of life, death.
G5055	τελέω	I end, accomplish, pay	(a) I end, finish, (b) I fulfill, accomplish, (c) I pay.
G5056	τέλος, ους, τό	an end, purpose, tax	(a) an end, (b) event or issue, (c) the principal end, aim, purpose, (d) a tax.
G5057	τελώνης, ου, ὁ	a collector of taxes	a publican, collector of taxes.
G5058	τελώνιον, ου, τό	a tax-collector's office	a tax-collector's office, toll-house.
G5059	τέρας, ατος, τό	a wonder, portent	a wonder, portent, marvel.
G5060	Τέρτιος, ου, ὁ	Tertius	Tertius, who wrote the Epistle to the Romans at Paul's dictation.
G5061	Τέρτυλλος, ου, ὁ	Tertullus	Tertullus, a barrister acting as professional prosecutor of Paul at Caesarea.
G5062	τεσσαράκοντα	forty	forty.
G5063	τεσσαρακονταετής, ές	forty years of age	forty years of age.
G5064	τέσσαρες, τέσσαρα	four	four.
G5065	τεσσαρεσκαιδέκατος, η, ον	fourteenth	fourteenth.
G5066	τεταρταῖος, αία, αῖον	four days since	of the fourth day, four days since.
G5067	τέταρτος, η, ον	fourth	fourth.
G5068	τετράγωνος, ον	square	square, four-cornered.
G5069	τετράδιον, ου, τό	a group of four soldiers	a quaternion, a group of four soldiers.
G5070	τετρακισχίλιοι, αι, α	four thousand	four thousand.
G5071	τετρακόσιοι, αι, α	four hundred	four hundred.
G5072	τετράμηνος, ον	of four months	of four months, a period of four months.
G5073	τετραπλοῦς, ῆ, οῦν	four-fold	four-fold, four times as much.
G5074	τετράπους, ουν	four-footed	four-footed.
G5075	τετραρχέω	I rule over as a tetrarch	I rule over as a tetrarch.
G5076	τετράρχης, ου, ὁ	a tetrarch	a tetrarch, ruler over a fourth part of a region.
G5077	τεφρόω	I reduce to ashes	I reduce to ashes, consume, destroy.
G5078	τέχνη, ης, ἡ	art, skill, trade	art, skill, trade, craft.
G5079	τεχνίτης, ου, ὁ	a craftsman, artisan	a craftsman, artisan, architect, builder.
G5080	τήκω	I make liquid, melt	I make liquid; pass: I melt (away).
G5081	τηλαυγῶς	clearly, distinctly	clearly, distinctly, plainly.
G5082	τηλικοῦτος, αύτη, οῦτο	so great	so great, so large, important.
G5083	τηρέω	I keep, guard, observe	I keep, guard, observe, watch over.
G5084	τήρησις, εως, ἡ	a prison, observance	a prison; observance (as of precepts).
G5085	Τιβεριάς, άδος, ἡ	Tiberias	Tiberias, a town in Galilee on the western border of the sea called after it.
G5086	Τιβέριος, ου, ὁ	Tiberius	Tiberius, the second Roman emperor (died A.D. 37).
G5087	τίθημι	I put, place	I put, place, lay, set, fix, establish.
G5088	τίκτω	I bear, bring forth, produce	I bear, bring forth, produce, beget, yield.
G5089	τίλλω	I pluck, pluck off	I pluck, pluck off.
G5090	Τιμαῖος, ου, ὁ	Timaeus	Timaeus, father of the blind beggar Bartimaeus.
G5091	τιμάω	I value at a price, honor	(a) I value at a price, estimate, (b) I honor, reverence.
G5092	τιμή, ῆς, ἡ	a price, honor	a price, honor.
G5093	τίμιος, α, ον	of great price, precious, honored	of great price, precious, honored.
G5094	τιμιότης, τητος, ἡ	preciousness, costliness	preciousness, costliness, worth.
G5095	Τιμόθεος, ου, ὁ	Timothy	Timothy, a Christian of Lystra, helper of Paul.
G5096	Τίμων, ωνος, ὁ	Timon	Timon, one of the seven original deacons at Jerusalem.
G5097	τιμωρέω	I punish	I punish, avenge myself on.
G5098	τιμωρία, ας, ἡ	punishment, penalty	punishment, penalty.
G5099	τίνω	I pay	I pay (penalty).
G5100	τις, τι	any one, some one	any one, some one, a certain one or thing.
G5101	τίς, τί	who, which, what	who, which, what, why.
G5102	τίτλος, ου, ὁ	a title, inscription	a title, inscription.
G5103	Τίτος, ου, ὁ	Titus	Titus, a Greek Christian, helper of Paul, perhaps also brother of Luke.
G5105	τοιγαροῦν	consequently, therefore	consequently, therefore, well then, so then.
G5106	τοίνυν	indeed now, therefore	indeed now, therefore, accordingly, well then.
G5107	τοιόσδε, τοιάδε, τοιόνδε	of this kind, such	of this kind, such, such as follows.
G5108	τοιοῦτος, τοιαύτη, τοιοῦτο	of such a kind, such	of such a kind, such.
G5109	τοῖχος, ου, ὁ	a wall	a wall.
G5110	τόκος, ου, ὁ	interest, usury	interest, usury.
G5111	τολμάω	I dare, endure, am bold	I dare, endure, am bold, have courage, make up the mind.
G5112	τολμηρότερον	more boldly	more boldly, more freely, with more confidence.
G5113	τολμητής, οῦ, ὁ	a daring, presumptuous man	a daring, bold man.
G5114	τομώτερος	sharper, keener	sharper, keener.
G5115	τόξον, ου, τό	a bow	a bow.
G5116	τοπάζιον, ου, τό	topaz	topaz.
G5117	τόπος, ου, ὁ	a place	a place, region, seat; an opportunity.
G5118	τοσοῦτος, τοσαύτη, τοσοῦτο	so great	so great, so large, so long, so many.
G5119	τότε	then	then, at that time.
G5121	τοὐναντίον	on the contrary	on the contrary, on the other hand.
G5122	τοὔνομα	by name	by name.
G5131	τράγος, ου, ὁ	a he-goat	a he-goat.
G5132	τράπεζα, ης, ἡ	a table for food or business	a table, (a) for food or banqueting, (b) for money-changing or business.
G5133	τραπεζίτης, ου, ὁ	a money-changer, banker	a money-changer, banker.
G5134	τραῦμα, ατος, τό	a wound	a wound.
G5135	τραυματίζω	I wound	I wound.
G5136	τραχηλίζω	I am laid bare, laid open	I am laid bare, laid open.
G5137	τράχηλος, ου, ὁ	the neck	the neck.
G5138	τραχύς, εῖα, ύ	rough	rough, rugged, uneven.
G5139	Τραχωνῖτις, ιδος, ἡ	Trachonitis	Trachonitis, the north-east of the territory beyond Jordan.
G5140	τρεῖς, τρία	three	three.
G5141	τρέμω	I tremble, am afraid	I tremble, am afraid.
G5142	τρέφω	I feed, rear	I feed, nourish; I bring up, rear, provide for.
G5143	τρέχω	I run, exercise myself	I run, exercise myself, make progress.
G5144	τριάκοντα, οἱ, αἱ, τά	thirty	thirty.
G5145	τριακόσιοι, αι, α	three hundred	three hundred.
G5146	τρίβολος, ου, ὁ	a thistle	a thistle.
G5147	τρίβος, ου, ἡ	a worn path, beaten way	a worn path, beaten way, road, highway.
G5148	τριετία, ας, ἡ	a space of three years	a space of three years.
G5149	τρίζω	I grate, gnash	I grate, gnash (as the teeth).
G5150	τρίμηνος, ον	lasting three months	lasting three months.
G5151	τρίς	three times	three times.
G5152	τρίστεγος, ον	having three stories, the third story	having three stories; subst: the third story.
G5153	τρισχίλιοι, αι, α	three thousand	three thousand.
G5154	τρίτος, η, ον	third	third.
G5155	τρίχινος, η, ον	made of hair	made of hair.
G5156	τρόμος, ου, ὁ	a trembling	a trembling, quaking, fear.
G5157	τροπή, ῆς, ἡ	a turning	a turning, change, mutation.
G5158	τρόπος, ου, ὁ	way, manner, character	(a) way, manner, (b) manner of life, character.
G5159	τροποφορέω	I endure the ways of	I endure the ways of, put up with.
G5160	τροφή, ῆς, ἡ	food, nourishment	food, nourishment, maintenance.
G5161	Τρόφιμος, ου, ὁ	Trophimus	Trophimus, a Christian of Ephesus in Asia.
G5162	τροφός, οῦ, ἡ	a nurse	a nurse.
G5163	τροχιά, ᾶς, ἡ	the track of a wheel, a path	the track of a wheel, a path.
G5164	τροχός, οῦ, ὁ	a wheel, course	a wheel, course.
G5165	τρύβλιον, ου, τό	a platter	a deep dish, platter, bowl.
G5166	τρυγάω	I gather	I gather (as of grapes), harvest.
G5167	τρυγών, όνος, ἡ	a turtle-dove	a turtle-dove.
G5168	τρυμαλιά, ᾶς, ἡ	the eye of a needle	the eye of a needle.
G5169	τρύπημα, ατος, τό	a hole, the eye of a needle	a hole; the eye of a needle.
G5170	Τρύφαινα, ης, ἡ	Tryphaena	Tryphaena, a Christian woman in Rome.
G5171	τρυφάω	I live a luxurious life	I live a luxurious life, live self-indulgently.
G5172	τρυφή, ῆς, ἡ	effeminate luxury	effeminate luxury, softness, indulgent living.
G5173	Τρυφῶσα, ης, ἡ	Tryphosa	Tryphosa, a Christian woman in Rome, perhaps a sister of Tryphaena.
G5174	Τρῳάς, άδος, ἡ	Troas	Troas, a harbor city of Mysia.
G5175	Τρωγύλλιον, ου, τό	Trogyllium	Trogyllium, a promontory somewhat to the south of Ephesus.
G5176	τρώγω	I eat	I eat, partake of a meal.
G5177	τυγχάνω	I obtain, I happen, perhaps	(a) gen: I obtain, (b) absol: I chance, happen; ordinary, everyday, it may chance, perhaps.
G5178	τυμπανίζω	I torture, break on the wheel	I torture, break on the wheel, beat to death.
G5179	τύπος, ου, ὁ	a figure, model, type	(originally: the mark of a blow, then a stamp struck by a die), (a) a figure; a copy, image, (b) a pattern, model, (c) a type, prefiguring something or somebody.
G5180	τύπτω	I beat, strike, wound, inflict punishment	I beat, strike, wound, inflict punishment.
G5181	Τύραννος, ου, ὁ	Tyrannus	Tyrannus, an inhabitant of Ephesus, probably a rhetorician.
G5182	τυρβάζω	I agitate or disturb in mind	I agitate or disturb in mind, trouble.
G5183	Τύριος, ου, ὁ, ἡ	an inhabitant of Tyre	a Tyrian, an inhabitant of Tyre.
G5184	Τύρος, ου, ἡ	Tyre	Tyre, an ancient city, the capital of Phoenicia.
G5185	τυφλός, ή, όν	blind	blind, physically or mentally.
G5186	τυφλόω	I make blind	I make blind, physically or mentally.
G5187	τυφόω	I puff up, make haughty	I puff up, make haughty; pass: I am puffed up, am haughty.
G5188	τύφω	I raise smoke	I raise smoke, smolder.
G5189	τυφωνικός, ή, όν	violent, tempestuous	violent, tempestuous, stormy.
G5190	Τυχικός, ου, ὁ	Tychicus	Tychicus, a Christian of the Roman province Asia.
G5191	ὑακίνθινος, ίνη, ινον	dark purple	dark purple or blue, of the color of hyacinth.
G5192	ὑάκινθος, ου, ὁ	jacinth	jacinth, a precious stone of the color of hyacinth.
G5193	ὑάλινος, η, ον	glassy, transparent	glassy, made of glass, transparent.
G5194	ὕαλος, ου, ἡ	glass	glass, crystal, clear transparent stone.
G5195	ὑβρίζω	I insult	I insult, treat with insolence.
G5196	ὕβρις, εως, ἡ	insult, damage, loss	(a) insult, injury, outrage, (b) damage, loss.
G5197	ὑβριστής, οῦ, ὁ	an insolent, insulting man	an insolent, insulting, or violent man.
G5198	ὑγιαίνω	I am well	I am well, am in good health; I am right, reasonable, sound, pure, uncorrupted.
G5199	ὑγιής, ές	sound, whole, wholesome	(a) sound, healthy, pure, whole, (b) wholesome.
G5200	ὑγρός, ά, όν	moist, green, full of sap	moist, green, full of sap.
G5201	ὑδρία, ας, ἡ	a water pot	a water pot, jar, pitcher.
G5202	ὑδροποτέω	I am a water drinker	I am only a water drinker.
G5203	ὑδρωπικός, ή, όν	afflicted with dropsy	afflicted with dropsy.
G5204	ὕδωρ, ὕδατος, τό	water	water.
G5205	ὑετός, οῦ, ὁ	rain	rain.
G5206	υἱοθεσία, ας, ἡ	adoption	adoption, as a son into the divine family.
G5207	υἱός, οῦ, ὁ	a son, descendent	a son, descendent.
G5208	ὕλη, ης, ἡ	wood, fuel	wood, fuel.
G5211	Ὑμέναιος, ου, ὁ	Hymenaeus	Hymenaeus.
G5212	ὑμέτερος, α, ον	your	your, yours.
G5214	ὑμνέω	I sing, sing hymns to	I sing, sing hymns to, praise.
G5215	ὕμνος, ου, ὁ	a hymn, sacred song	a hymn, sacred song, song of praise to God.
G5217	ὑπάγω	I go away, depart	I go away, depart, begone, die.
G5218	ὑπακοή, ῆς, ἡ	obedience	obedience, submissiveness, compliance.
G5219	ὑπακούω	I listen, obey	I listen, hearken to, obey, answer.
G5220	ὕπανδρος, ον	subject to a husband, married	subject to a husband, married.
G5221	ὑπαντάω	I meet	I meet, go to meet.
G5222	ὑπάντησις, εως, ἡ	a meeting	a meeting.
G5223	ὕπαρξις, εως, ἡ	goods, substance, property	goods, substance, property, possessions.
G5224	ὑπάρχοντα	goods, property	things which one possesses, goods, property, belongings.
G5225	ὑπάρχω	I am, exist, am in possession	I begin, am, exist, am in possession.
G5226	ὑπείκω	I yield	I yield, submit to authority.
G5227	ὑπεναντίος, α, ον	opposite to, adverse	opposite to, adverse; subst: an adversary.
G5228	ὑπέρ	in behalf of, above	gen: in behalf of; acc: above.
G5229	ὑπεραίρω	I raise beyond, uplift	lit: I raise beyond, uplift; mid: I lift myself up, exalt myself, am arrogant.
G5230	ὑπέρακμος, ον	past the bloom of youth	past the bloom of youth, of full age.
G5231	ὑπεράνω	far above	far above.
G5232	ὑπεραυξάνω	I increase exceedingly	I increase exceedingly or beyond measure.
G5233	ὑπερβαίνω	I transgress, go beyond	I transgress; I go beyond, overreach, defraud.
G5234	ὑπερβαλλόντως	beyond measure	beyond measure.
G5235	ὑπερβάλλω	I surpass	I surpass, excel, exceed, transcend.
G5236	ὑπερβολή, ῆς, ἡ	surpassing excellence, exceedingly	excess, surpassing excellence, preeminence; adv: exceedingly.
G5237	ὑπερεῖδον	I overlook	I overlook, take no notice of, disregard.
G5238	ὑπερέκεινα	beyond	beyond.
G5239	ὑπερεκτείνω	I over-stretch	I over-stretch, stretch out beyond the measure assigned to me.
G5240	ὑπερεκχύνω	I pour out so that it overflows	I pour out so that it overflows.
