strongs	word	transliteration	pronunciation	part_of_speech	language	derivation	definition	kjv_usage
H6160	עֲרָבָה	ʻărâbâh	ar-aw-baw'	n-f	heb	from 6150 (in the sense of sterility);	a desert; especially (with the article prefix) the (generally) sterile valley of the Jordan and its continuation to the Red Sea	Arabah, champaign, desert, evening, heaven, plain, wilderness. See also 1026.
H6161	עֲרֻבָּה	ʻărubbâh	ar-oob-baw'	n-f	heb	feminine passive participle of 6048 in the sense of a bargain or exchange;	something given as security, i.e. (literally) a token (of safety) or (metaphorically) a bondsman	pledge, surety.
H6162	עֲרָבוֹן	ʻărâbôwn	ar-aw-bone'	n-m	heb	from 6148 (in the sense of exchange);	a pawn (given as security)	pledge.
H6163	עֲרָבִי	ʻĂrâbîy	ar-aw-bee'	n a	x-pn	or עַרְבִי; patrial from 6152;	an Arabian or inhabitant of Arab (i.e. Arabia)	Arabian.
H6164	עַרְבָתִי	ʻArbâthîy	ar-baw-thee'	a	x-pn	patrial from 1026;	an Arbathite or inhabitant of (Beth-) Arabah	Arbahite.
H6165	עָרַג	ʻârag	aw-rag'	v	heb	a primitive root;	to long for	cry, pant.
H6166	עֲרָד	ʻĂrâd	ar-awd'	n-pr-loc	x-pn	from an unused root meaning to sequester itself; fugitive;	Arad, the name of a place near Palestine, also of a Canaanite and an Israelite	Arad.
H6167	עֲרָד	ʻărâd	ar-awd'	n-m	arc	(Aramaic) corresponding to 6171;	an onager	wild ass.
H6168	עָרָה	ʻârâh	aw-raw'	v	heb	a primitive root;	to be (causatively, make) bare; hence, to empty, pour out, demolish	leave destitute, discover, empty, make naked, pour (out), rase, spread self, uncover.
H6169	עָרָה	ʻârâh	aw-raw'	n-f	heb	feminine from 6168;	a naked (i.e. level) plot	paper reed.
H6170	עֲרוּגָה	ʻărûwgâh	ar-oo-gaw'	n-f	heb	or עֲרֻגָה; feminine passive participle of 6165;	something piled up (as if (figuratively) raised by mental aspiration), i.e. a paterre	bed, furrow.
H6171	עָרוֹד	ʻârôwd	aw-rode'	n-m	heb	from the same as 6166;	an onager (from his lonesome habits)	wild ass.
H6172	עֶרְוָה	ʻervâh	er-vaw'	n-f	heb	from 6168;	nudity, literally (especially the pudenda) or figuratively (disgrace, blemish)	nakedness, shame, unclean(-ness).
H6173	עַרְוָה	ʻarvâh	ar-vaw'	n-f	arc	(Aramaic) corresponding to 6172;	nakedness, i.e. (figuratively) impoverishment	dishonor.
H6174	עָרוֹם	ʻârôwm	aw-rome'	a	heb	or עָרֹם; from 6191 (in its original sense);	nude, either partially or totally	naked.
H6175	עָרוּם	ʻârûwm	aw-room'	a	heb	passive participle of 6191;	cunning (usually in a bad sense)	crafty, prudent, subtil.
H6176	עֲרוֹעֵר	ʻărôwʻêr	ar-o-ayr'	n-m	heb	or עַרְעָר; from 6209 reduplicated;	a juniper (from its nudity of situation)	health.
H6177	עֲרוֹעֵר	ʻĂrôwʻêr	ar-o-ayr'	n-pr-loc	x-pn	or עֲרֹעֵר; or עַרְעוֹר; the same as 6176; nudity of situation;	Aroër, the name of three places in or near Palestine	Aroer.
H6178	עָרוּץ	ʻârûwts	aw-roots'	a	heb	passive participle of 6206;	feared, i.e. (concretely) a horrible place or chasm	cliffs.
H6179	עֵרִי	ʻÊrîy	ay-ree'	n-pr-m	x-pn	from 5782; watchful;	Eri, an Israelite	Eri.
H6180	עֵרִי	ʻÊrîy	ay-ree'	a	x-pn	patronymically of 6179;	an Erite (collectively) or descendants of Eri	Erites.
H6181	עֶרְיָה	ʻeryâh	er-yaw'	n-f	heb	for 6172;	nudity	bare, naked, × quite.
H6182	עֲרִיסָה	ʻărîyçâh	ar-ee-saw'	n-f	heb	from an unused root meaning to comminute;	meal	dough.
H6183	עָרִיף	ʻârîyph	aw-reef'	n-m	heb	from 6201;	the sky (as drooping at the horizon)	heaven.
H6184	עָרִיץ	ʻârîyts	aw-reets'	a	heb	from 6206;	fearful, i.e. powerful or tyrannical	mighty, oppressor, in great power, strong, terrible, violent.
H6185	עֲרִירִי	ʻărîyrîy	ar-e-ree'	a	heb	from 6209;	bare, i.e. destitute (of children)	childless.
H6186	עָרַךְ	ʻârak	aw-rak'	v	heb	a primitive root;	to set in a row, i.e. arrange, put in order (in a very wide variety of applications)	put (set) (the battle, self) in array, compare, direct, equal, esteem, estimate, expert (in war), furnish, handle, join (battle), ordain, (lay, put, reckon up, set) (in) order, prepare, tax, value.
H6187	עֵרֶךְ	ʻêrek	eh'rek	n-m	heb	from 6186;	a pile, equipment, estimate	equal, estimation, (things that are set in) order, price, proportion, × set at, suit, taxation, × valuest.
H6188	עָרֵל	ʻârêl	aw-rale'	v	heb	a primitive root; properly, to strip; but used as denominative from 6189;	to expose or remove the prepuce, whether literal (to go naked) or figurative (to refrain from using)	count uncircumcised, foreskin to be uncovered.
H6189	עָרֵל	ʻârêl	aw-rale'	a	heb	from 6188;	properly, exposed, i.e. projecting loose (as to the prepuce); used only technically, uncircumcised (i.e. still having the prepuce uncurtailed)	uncircumcised (person).
H6190	עׇרְלָה	ʻorlâh	or-law'	n-f	heb	feminine of 6189;	the prepuce	foreskin, uncircumcised.
H6191	עָרַם	ʻâram	aw-ram'	v	heb	a primitive root;	properly, to be (or make) bare; but used only in the derivative sense (through the idea perhaps of smoothness) to be cunning (usually in a bad sense)	× very, beware, take crafty (counsel), be prudent, deal subtilly.
H6192	עָרַם	ʻâram	aw-ram'	v	heb	a primitive root;	to pile up	gather together.
H6193	עֹרֶם	ʻôrem	o'-rem	n-m	heb	from 6191;	a stratagem	craftiness.
H6194	עָרֵם	ʻârêm	aw-rame'	n-f	heb	(Jeremiah 50:26) or (feminine) עֲרֵמָה; from 6192;	a heap; specifically, a sheaf	heap (of corn), sheaf.
H6195	עׇרְמָה	ʻormâh	or-maw'	n-f	heb	feminine of 6193;	trickery; or (in a good sense) discretion	guile, prudence, subtilty, wilily, wisdom.
H6196	עַרְמוֹן	ʻarmôwn	ar-mone'	n-m	heb	probably from 6191;	the plane tree (from its smooth and shed bark)	chestnut tree.
H6197	עֵרָן	ʻÊrân	ay-rawn'	n-pr-m	x-pn	probably from 5782; watchful;	Eran, an Israelite	Eran.
H6198	עֵרָנִי	ʻÊrânîy	ay-raw-nee'	a	x-pn	patronymically from 6197;	an Eranite or descendant (collectively) of Eran	Eranites.
H6199	עַרעָר	ʻarʻâr	ar-awr'	a	heb	from 6209;	naked, i.e. (figuratively) poor	destitute. See also 6176.
H6200	עֲרֹעֵרִי	ʻĂrôʻêrîy	ar-o-ay-ree'	a	x-pn	patronymically from 6177;	an Aroerite or inhabitant of Aroer	Aroerite.
H6201	עָרַף	ʻâraph	aw-raf'	v	heb	a primitive root;	to droop; hence, to drip	drop (down).
H6202	עָרַף	ʻâraph	aw-raf'	v	heb	a primitive root (identical with through the idea of slopping); properly, to bend downward; but used only as a denominative from 6203,	to break the neck; hence (figuratively) to destroy	that is beheaded, break down, break (cut off, strike off) neck.
H6203	עֹרֶף	ʻôreph	o-ref'	n-m	heb	from 6202;	the nape or back of the neck (as declining); hence, the back generally (whether literal or figurative)	back ((stiff-) neck((-ed).
H6204	עׇרְפָּה	ʻOrpâh	or-paw'	n-pr-f	x-pn	feminine of 6203; mane;	Orpah, a Moabitess	Orpah.
H6205	עֲרָפֶל	ʻărâphel	ar-aw-fel'	n-m	heb	probably from 6201;	gloom (as of a lowering sky)	(gross, thick) dark (cloud, -ness).
H6206	עָרַץ	ʻârats	aw-rats'	v	heb	a primitive root;	to awe or (intransitive) to dread; hence, to harass	be affrighted (afraid, dread, feared, terrified), break, dread, fear, oppress, prevail, shake terribly.
H6207	עָרַק	ʻâraq	aw-rak'	v	heb	a primitive root;	to gnaw, i.e. (figuratively) eat (by hyberbole); also (participle) a pain	fleeing, sinew.
H6208	עַרְקִי	ʻArqîy	ar-kee'	a	x-pn	patrial from an unused name meaning a tush;	an Arkite or inhabitant of Erek	Arkite.
H6209	עָרַר	ʻârar	aw-rar'	v	heb	a primitive root;	to bare; figuratively, to demolish	make bare, break, raise up (perhaps by clerical error for raze), × utterly.
H6210	עֶרֶשׂ	ʻeres	eh'res	n-f	heb	from an unused root meaning perhaps to arch;	a couch (properly, with a canopy)	bed(-stead), couch.
H6211	עָשׁ	ʻâsh	awsh	n	heb	from 6244;	a moth	moth. See also 5906.
H6212	עֶשֶׂב	ʻeseb	eh'seb	n-m	heb	from an unused root meaning to glisten (or be green);	grass (or any tender shoot)	grass, herb.
H6213	עָשָׂה	ʻâsâh	aw-saw'	v	heb	a primitive root;	to do or make, in the broadest sense and widest application	accomplish, advance, appoint, apt, be at, become, bear, bestow, bring forth, bruise, be busy, × certainly, have the charge of, commit, deal (with), deck, displease, do, (ready) dress(-ed), (put in) execute(-ion), exercise, fashion, feast, (fight-) ing man, finish, fit, fly, follow, fulfill, furnish, gather, get, go about, govern, grant, great, hinder, hold (a feast), × indeed, be industrious, journey, keep, labour, maintain, make, be meet, observe, be occupied, offer, officer, pare, bring (come) to pass, perform, pracise, prepare, procure, provide, put, requite, × sacrifice, serve, set, shew, × sin, spend, × surely, take, × thoroughly, trim, × very, vex, be (warr-) ior, work(-man), yield, use.
H6214	עֲשָׂהאֵל	ʻĂsâhʼêl	as-aw-ale'	n-pr-m	x-pn	from 6213 and 410; God has made;	Asahel, the name of four Israelites	Asahel.
H6215	עֵשָׂו	ʻÊsâv	ay-sawv'	n-pr-m	x-pn	apparently a form of the passive participle of 6213 in the original sense of handling; rough (i.e. sensibly felt);	Esav, a son of Isaac, including his posterity	Esau.
H6216	עָשׁוֹק	ʻâshôwq	aw-shoke'	n-m	heb	from 6231;	oppressive (as noun, a tyrant)	oppressor.
H6217	עָשׁוּק	ʻâshûwq	aw-shook'	n-m	heb	or עָשֻׁק; passive participle of 6231;	used in plural masculine as abstractly, tyranny	oppressed(-ion). [Doubtful.]
H6218	עָשׂוֹר	ʻâsôwr	aw-sore'	n-m	heb	or עָשֹׂר; from 6235;	ten; by abbreviated form ten strings, and so a decachord	(instrument of) ten (strings, -th).
H6219	עָשׁוֹת	ʻâshôwth	aw-shoth'	a	heb	from 6245;	shining, i.e. polished	bright.
H6220	עַשְׁוָת	ʻAshvâth	ash-vawth'	n-pr-m	x-pn	for 6219; bright;	Ashvath, an Israelite	Ashvath.
H6221	עֲשִׂיאֵל	ʻĂsîyʼêl	as-ee-ale'	n-pr-m	x-pn	from 6213 and 410; made of God;	Asiel, an Israelite	Asiel.
H6222	עֲשָׂיָה	ʻĂsâyâh	aw-saw-yaw'	n-pr-m	x-pn	from 6213 and 3050; Jah has made;	Asajah, the name of three or four Israelites	Asaiah.
H6223	עָשִׁיר	ʻâshîyr	aw-sheer'	n-m	heb	from 6238;	rich, whether literal or figurative (noble)	rich (man).
H6224	עֲשִׂירִי	ʻăsîyrîy	as-ee-ree'	a	heb	from 6235;	tenth; by abbreviation, tenth month or (feminine) part	tenth (part).
H6225	עָשַׁן	ʻâshan	aw-shan'	v	heb	a primitive root;	to smoke, whether literal or figurative	be angry (be on a) smoke.
H6226	עָשֵׁן	ʻâshên	aw-shane'	a	heb	from 6225;	smoky	smoking.
H6227	עָשָׁן	ʻâshân	aw-shawn'	n-m	heb	from 6225;	smoke, literally or figuratively (vapor, dust, anger)	smoke(-ing).
H6228	עָשָׁן	ʻÂshân	aw-shawn'	n-pr-loc	x-pn	the same as 6227;	Ashan, a place in Palestine	Ashan.
H6229	עָשַׂק	ʻâsaq	aw-sak	v	heb	a primitive root (identical with 6231);	to press upon, i.e. quarrel	strive with.
H6230	עֵשֶׂק	ʻêseq	ay'sek	n	heb	from 6229;	strife	Esek.
H6231	עָשַׁק	ʻâshaq	aw-shak'	v	heb	a primitive root (compare 6229);	to press upon, i.e. oppress, defraud, violate, overflow	get deceitfully, deceive, defraud, drink up, (use) oppress(-ion), -or), do violence (wrong).
H6232	עֵשֶׁק	ʻÊsheq	ay-shek'	n-pr-m	x-pn	from 6231; oppression;	Eshek, an Israelite	Eshek.
H6233	עֹשֶׁק	ʻôsheq	o'-shek	n-m	heb	from 6231;	injury, fraud, (subjectively) distress, (concretely) unjust gain	cruelly, extortion, oppression, thing (deceitfully gotten).
H6234	עׇשְׁקָה	ʻoshqâh	osh-kaw'	n-f	heb	feminine of 6233;	anguish	oppressed.
H6235	עֶשֶׂר	ʻeser	eh'ser	n	heb	masculine of term עֲשָׂרָה; from 6237;	ten (as an accumulation to the extent of the digits)	ten, (fif-, seven-) teen.
H6236	עֲשַׂר	ʻăsar	as-ar'	n	arc	(Aramaic) masculine עֲשְׂרָה (Aramaic); corresponding to 6235;	ten	ten, twelve.
H6237	עָשַׂר	ʻâsar	aw-sar'	v	heb	a primitive root (identical with 6238); to accumulate; but used only as denominative from 6235;	to tithe, i.e. to take or give a tenth	× surely, give (take) the tenth, (have, take) tithe(-ing, -s), × truly.
H6238	עָשַׁר	ʻâshar	aw-shar'	v	heb	a primitive root;	properly, to accumulate; chiefly (specifically) to grow (causatively, make) rich	be(-come, en-, make, make self, wax) rich, make (1 Kings 22:48 marg). See 6240.
H6239	עֹשֶׁר	ʻôsher	o'-sher	n-m	heb	from 6238;	wealth	× far (richer), riches.
H6240	עָשָׂר	ʻâsâr	aw-sawr'	n	heb	for 6235;	ten (only in combination), i.e. -teen; also (ordinal) -teenth	(eigh-, fif-, four-, nine-, seven-, six-, thir-) teen(-th), + eleven(-th), + sixscore thousand, + twelve(-th).
H6241	עִשָּׂרוֹן	ʻissârôwn	is-saw-rone'	n-m	heb	or עִשָּׂרֹן; from 6235;	(fractional) a tenth part	tenth deal.
H6242	עֶשְׂרִים	ʻesrîym	es-reem'	n	heb	from 6235;	twenty; also (ordinal) twentieth	(six-) score, twenty(-ieth).
H6243	עֶשְׂרִין	ʻesrîyn	es-reen'	n	arc	(Aramaic) corresponding to 6242		twenty.
H6244	עָשֵׁשׁ	ʻâshêsh	aw-shaysh'	v	heb	a primitive root;	probably to shrink, i.e. fail	be consumed.
H6245	עָשַׁת	ʻâshath	aw-shath'	v	heb	a primitive root;	probably to be sleek, i.e. glossy; hence (through the idea of polishing) to excogitate (as if forming in the mind)	shine, think.
H6246	עֲשִׁת	ʻăshith	ash-eeth'	v	arc	(Aramaic) corresponding to 6245;	to purpose	think.
H6247	עֶשֶׁת	ʻesheth	eh'-sheth	n-m	heb	from 6245;	a fabric	bright.
H6248	עַשְׁתּוּת	ʻashtûwth	ash-tooth'	n-f	heb	from 6245;	cogitation	thought.
H6249	עַשְׁתֵּי	ʻashtêy	ash-tay'	n	heb	apparently masculine plural construction of 6247 in the sense of an afterthought (used only in connection with 6240 in lieu of 259)	eleven or (ordinal) eleventh	eleven(-th).
H6250	עֶשְׁתֹּנָה	ʻeshtônâh	esh-to-naw'	n-f	heb	from 6245;	thinking	thought.
H6251	עַשְׁתְּרָה	ʻashtᵉrâh	ash-ter-aw'	n-f	heb	probably from 6238;	increase	flock.
H6252	עַשְׁתָּרוֹת	ʻAshtârôwth	ash-taw-roth'	n-pr-f	x-pn	or עַשְׁתָּרֹת; plural of 6251;	Ashtaroth, the name of a Sidonian deity, and of a place East of the Jordan	Asharoth, Astaroth. See also 1045, 6253, 6255.
H6253	עַשְׁתֹּרֶת	ʻAshtôreth	ash-to'reth	n-pr-f	x-pn	probably for 6251;	Ashtoreth, the Phoenician goddess of love (and increase)	Ashtoreth.
H6254	עַשְׁתְּרָתִי	ʻAshtᵉrâthîy	ash-ter-aw-thee'	a	x-pn	patrial from 6252;	an Ashterathite or inhabitant of Ashtaroth	Ashterathite.
H6255	עַשְׁתְּרֹת קַרְנַיִם	ʻAshtᵉrôth Qarnayim	ash-ter-oth' kar-nah'-yim	n-pr-loc	x-pn	from 6252 and the dual of 7161; Ashtaroth of (the) double horns (a symbol of the deity);	Ashteroth-Karnaim, a place East of the Jordan	Ashtoreth Karnaim.
H6256	עֵת	ʻêth	ayth	n-f	heb	from 5703;	time, especially (adverb with preposition) now, when, etc.	after, (al-) ways, × certain, continually, evening, long, (due) season, so (long) as, (even-, evening-, noon-) tide, (meal-), what) time, when.
H6257	עָתַד	ʻâthad	aw-thad'	v	heb	a primitive root;	to prepare	make fit, be ready to become.
H6258	עַתָּה	ʻattâh	at-taw'	adv	heb	from 6256;	at this time, whether adverb, conjunction or expletive	henceforth, now, straightway, this time, whereas.
H6259	עָתוּד	ʻâthûwd	aw-thood'	a	heb	passive participle of 6257;	prepared	ready.
H6260	עַתּוּד	ʻattûwd	at-tood'	n-m	heb	or עַתֻּד; from 6257;	prepared, i.e. full grown; spoken only (in plural) of he-goats, or (figuratively) leaders of the people	chief one, (he) goat, ram.
H6261	עִתִּי	ʻittîy	it-tee'	a	heb	from 6256;	timely	fit.
H6262	עַתַּי	ʻAttay	at-tah'ee	n-pr-m	x-pn	for 6261;	Attai, the name of three Israelites	Attai.
H6263	עֲתִיד	ʻăthîyd	ath-eed'	a	arc	(Aramaic) corresponding to 6264;	prepared	ready.
H6264	עָתִיד	ʻâthîyd	aw-theed'	a	heb	from 6257;	prepared; by implication, skilful; feminine plural the future; also treasure	things that shall come, ready, treasures.
H6265	עֲתָיָה	ʻĂthâyâh	ath-aw-yaw'	n-pr-m	x-pn	from 5790 and 3050; Jah has helped;	Athajah, an Israelite	Athaiah.
H6266	עָתִיק	ʻâthîyq	aw-theek'	a	heb	from 6275;	properly, antique, i.e. venerable or splendid	durable.
H6267	עַתִּיק	ʻattîyq	at-teek'	a	heb	from 6275;	removed, i.e. weaned; also antique	ancient, drawn.
H6268	עַתִּיק	ʻattîyq	at-teek'	a	arc	(Aramaic) corresponding to 6267;	venerable	ancient.
H6269	עֲתָךְ	ʻĂthâk	ath-awk'	n-pr-loc	x-pn	from an unused root meaning to sojourn; lodging;	Athak, a place in Palestine	Athach.
H6270	עַתְלַי	ʻAthlay	ath-lah'ee	n-pr-m	x-pn	from an unused root meaning to compress; constringent;	Athlai, an Israelite	Athlai.
H6271	עֲתַלְיָה	ʻĂthalyâh	ath-al-yaw'	n-pr-m n-pr-f	x-pn	or עֲתַלְיָהוּ; from the same as 6270 and 3050; Jah has constrained;	Athaljah, the name of an Israelitess and two Israelites	Athaliah.
H6272	עָתַם	ʻâtham	aw-tham	v	heb	a primitive root;	probably to glow, i.e. (figuratively) be desolated	be darkened.
H6273	עׇתְנִי	ʻOthnîy	oth-nee'	n-pr-m	x-pn	from an unused root meaning to force; forcible;	Othni, an Israelite	Othni.
H6274	עׇתְנִיאֵל	ʻOthnîyʼêl	oth-nee-ale'	n-pr-m	x-pn	from the same as 6273 and 410; force of God;	Othniel, an Israelite	Othniel.
H6275	עָתַק	ʻâthaq	aw-thak'	v	heb	a primitive root;	to remove (intransitive or transitive) figuratively, to grow old; specifically, to transcribe	copy out, leave off, become (wax) old, remove.
H6276	עָתֵק	ʻâthêq	aw-thake'	a	heb	from 6275;	antique, i.e. valued	durable.
H6277	עָתָק	ʻâthâq	aw-thawk'	a	heb	from 6275 in the sense of license;	impudent	arrogancy, grievous (hard) things, stiff.
H6278	עֵת קָצִין	ʻÊth Qâtsîyn	ayth kaw-tseen'	n-pr-loc	x-pn	from 6256 and 7011; time of a judge;	Eth-Katsin, a place in Palestine	Ittahkazin (by including directive enclitic).
H6279	עָתַר	ʻâthar	aw-thar'	v	heb	a primitive root (rather denominative from 6281);	to burn incense in worship, i.e. intercede (reciprocally, listen to prayer)	intreat, (make) pray(-er).
H6280	עָתַר	ʻâthar	aw-thar'	v	heb	a primitive root;	to be (causatively, make) abundant	deceitful, multiply.
H6281	עֶתֶר	ʻEther	eh'ther	n-pr-loc	x-pn	from 6280; abundance;	Ether, a place in Palestine	Ether.
H6282	עָתָר	ʻâthâr	aw-thawr'	n-m	heb	from 6280; also compare 6279	incense (as increasing to a volume of smoke); hence a worshipper	suppliant, thick.
H6283	עֲתֶרֶת	ʻăthereth	ath-eh'-reth	n-f	heb	from 6280;	copiousness	abundance. p
H6284	פָּאָה	pâʼâh	paw-aw'	v	heb	a primitive root;	to puff, i.e. blow away	scatter into corners.
H6285	פֵּאָה	pêʼâh	pay-aw'	n-f	heb	feminine of 6311;	properly, mouth in a figurative sense, i.e. direction, region, extremity	corner, end, quarter, side.
H6286	פָּאַר	pâʼar	paw-ar'	v	heb	a primitive root; also denominative from 6288,	to gleam, i.e. (causatively) embellish; figuratively, to boast; also to explain (i.e. make clear) oneself; to shake a tree	beautify, boast self, go over the boughs, glorify (self), glory, vaunt self.
H6287	פְּאֵר	pᵉʼêr	peh-ayr'	n-m	heb	from 6286;	an embellishment, i.e. fancy head-dress	beauty, bonnet, goodly, ornament, tire.
H6288	פְּאֹרָה	pᵉʼôrâh	peh-o-raw'	n-f	heb	or פֹּרָאה; or פֻּארָה; from 6286;	properly, ornamentation, i.e. (plural) foliage (including the limbs) as bright green	bough, branch, sprig.
H6289	פָּארוּר	pâʼrûwr	paw-roor'	n-m	heb	from 6286;	properly, illuminated, i.e. a glow; as noun, a flush (of anxiety)	blackness.
